dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,export_dir,selected_edge_hash,planner_config_hash,graph_seed,training_seed,source_row_id
ACM,ACM-HeSF-RCS-auto-field30,keyword_feature_ratio,0.3,,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field30\keyword_feature_ratio_0p3\official_trainval\ACM,ce1167831fa00db54c6a13136d5fdd3afeb1ed4a3858e0d012601af5c64f7cdf,af3d069d4c0f6e2ad0808ae1bc20295beb0f80de5b6529a90cf7fa8941605283,1,1,15
ACM,ACM-HeSF-RCS-auto-field20,keyword_feature_ratio,0.2,,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field20\keyword_feature_ratio_0p2\official_trainval\ACM,8f4956d8efbccc15243bd6f744bff1482f2e10b6b9a0db16fcbfcdf679dd8b11,fd56bdd1202292ea6c0cb913dfd0a7d5be3e8e0374bca30f097635901aebc64b,1,1,16
ACM,ACM-Random-field20,keyword_feature_ratio,0.2,,outputs\gate21_18_smoke\exports\ACM\1\ACM_Random_field20\keyword_feature_ratio_0p2\official_trainval\ACM,6d13027926edf5ceb3f7fea9bcef052cf12db5116877d63dc1e58952c53256f7,04d4e478d21e045a813fc525a05197b155ca7b347556a1d0870f0a5c80f2f0c8,1,1,17
ACM,ACM-Degree-field20,keyword_feature_ratio,0.2,,outputs\gate21_18_smoke\exports\ACM\1\ACM_Degree_field20\keyword_feature_ratio_0p2\official_trainval\ACM,a6886e962c3c59fd053fd8adf105e49a7a956a1380427000cee9e4ce4d82dc23,4ac8d1bf9d16655ee81950c13dacd88f99dc4c6e437547908d5a0bcbc938d130,1,1,18
IMDB,IMDB-HeSF-RCS-auto structural30,structural_storage_ratio,0.3,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_HeSF_RCS_auto_structural30\structural_storage_ratio_0p3\official_trainval\IMDB,dd91d2886fbd4eda5d0736cfb17c984ac68bf88cf2f5989b922fd5ecca98992d,807a687dc47a3195bd5a24ea3e0c29f81b0808759f1fe561b4ccdbeea4f8f901,1,1,19
IMDB,IMDB-HeSF-RCS-auto structural20,structural_storage_ratio,0.2,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB,129c27f863a002928f2eae41d7e47049ff2a0436d1b5ccb3bb3276d46b755756,15c97dc7a5ec8ab56ecf765e5b584de9e234450e4ebcf1e98c0dca545d9af2f0,1,1,20
IMDB,IMDB-Random-channel20,channel_edge_ratio,0.2,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_Random_channel20\channel_edge_ratio_0p2\official_trainval\IMDB,43bcc02c4e994722f9bb38a5c9136530906884f11430c82b4aeb43436e4e20d2,4745093bbbe4acae26334e3f24a1ffb3cd9f9d64dbf01973a722e59a15a278a4,1,1,21
IMDB,IMDB-Degree-channel20,channel_edge_ratio,0.2,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_Degree_channel20\channel_edge_ratio_0p2\official_trainval\IMDB,67b9b0badaed1a9b7d198fa6614d1e1f69c3793ada7b2882760586a13ad06e5c,72cad50bd01dcad0f03f775f81e18e23db92405a4310466810e8159dd543cb34,1,1,22
IMDB,IMDB-MDfull-MA50-MK20,channel_edge_ratio,0.5,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_MDfull_MA50_MK20\channel_edge_ratio_0p5\official_trainval\IMDB,4174417d7e034b3214d4461c52aae82c360ccf43e63a42ab2c9baa517d1086b6,971e872d5e0aadad96ff97890c6aab53f36b9d32e517d5e221f187ac02958a58,1,1,23
IMDB,IMDB-MDfull-MA20-MK50,channel_edge_ratio,0.5,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_MDfull_MA20_MK50\channel_edge_ratio_0p5\official_trainval\IMDB,83e24ab05ab7e2384101b7d892147ffea45a7b631b7b43adbe705d3fbac9fb9d,27cdf65a25bca1c8645e924cf0ebd38fb0c0b206a82d5b9b441812e9ec68af2f,1,1,24
